2021-09-10 10:26:56.1733 | INFO | WebView.Controllers.TogetherPassengerController | 進入程式 

2021-09-10 10:26:56.2999 | INFO | WebView.Controllers.TogetherPassengerController | 進入程式 

2021-09-10 10:26:56.3119 | INFO | WebView.Controllers.TogetherPassengerController | 發送請求前 

2021-09-10 10:26:56.3957 | INFO | WebView.Repository.TogethePassengerRepository | 匿名物件生成 

2021-09-10 10:26:56.6588 | INFO | WebView.Repository.TogethePassengerRepository | 轉為json 

2021-09-10 10:26:56.6927 | INFO | WebView.Repository.TogethePassengerRepository | 準備發response 

2021-09-10 10:27:55.3006 | INFO | WebView.Repository.TogethePassengerRepository | 獲取response 

2021-09-10 10:29:02.6819 | INFO | WebView.Repository.TogethePassengerRepository | 成功轉換成result 

2021-09-10 10:29:02.7198 | INFO | WebView.Controllers.TogetherPassengerController |  

2021-09-10 10:29:02.7198 | INFO | WebView.Controllers.TogetherPassengerController | 發送請求後 

2021-09-10 10:29:08.7593 | INFO | WebView.Controllers.TogetherPassengerController | 請求失敗 

2021-09-10 10:29:15.7969 | INFO | WebView.Controllers.TogetherPassengerController | 進入程式 

2021-09-10 10:29:15.7969 | INFO | WebView.Controllers.TogetherPassengerController | 進入程式 

2021-09-10 10:29:15.8128 | INFO | WebView.Controllers.TogetherPassengerController | 發送請求前 

2021-09-10 10:29:15.8128 | INFO | WebView.Repository.TogethePassengerRepository | 匿名物件生成 

2021-09-10 10:29:15.8318 | INFO | WebView.Repository.TogethePassengerRepository | 轉為json 

2021-09-10 10:29:15.8397 | INFO | WebView.Repository.TogethePassengerRepository | 準備發response 

2021-09-10 10:29:33.7697 | INFO | WebView.Repository.TogethePassengerRepository | 獲取response 

2021-09-10 10:29:33.7901 | INFO | WebView.Repository.TogethePassengerRepository | 成功轉換成result 

2021-09-10 10:29:33.7901 | INFO | WebView.Controllers.TogetherPassengerController |  

2021-09-10 10:29:33.8091 | INFO | WebView.Controllers.TogetherPassengerController | 發送請求後 

2021-09-10 10:29:34.9598 | INFO | WebView.Controllers.TogetherPassengerController | 請求失敗 

2021-09-10 10:31:41.0631 | INFO | WebView.Controllers.TogetherPassengerController | 進入程式 

2021-09-10 10:31:41.1000 | INFO | WebView.Controllers.TogetherPassengerController | 進入程式 

2021-09-10 10:31:41.1070 | INFO | WebView.Controllers.TogetherPassengerController | 發送請求前 

2021-09-10 10:31:41.1758 | INFO | WebView.Repository.TogethePassengerRepository | 匿名物件生成 

